product_id,review_text
P3,"I wish I known about Cerave long ago in my teens. I had such bad acne, oily skin, and tried so many different products that didn’t work or made it worse. I still had acne (not as bad) into my 30s but after noticing others my age with no acne and at my wits end, I decided to do some research for products that actually worked, not just random products I found in the drugstore skin care aisle but also not break the bank.

After some thorough google research, YouTube reviews, and website reviews, I found Cerave to be a good place to start. I now use Cerave Hydrating Facial Cleanser and rotate out with Cerave’s Renewing SA Cleanser (once a week). I then use Cerave’s Skin Renewing Night Cream (morning and night). I also do hydrating masks once a week, quartz facial rollers from the freezer (morning and night), LED red light therapy every other night, hyaluronic acid serum (morning and night), and Jergen’s Natural Glow Face Mositurizer with SPF 20 (which I will be switching over to Cerava’s tinted sunscreen once my Jergens is gone). I no longer wear foundation because my skin has cleared, my skin tone looks much smoother, and my pores are tighter.

I hope this information might be helpful to others that are struggling with skin care issues like mine. Cerave has, from my experience, provided me with a good quality skincare routine that I’ve been using for over a year now with no issues. I would like to note that I have tried Cerave’s Skin Renewing Retinol Serum that did make me breakout. I discontinued use but after reading reviews, there is a temporary retinol purge period (can last several months) that causes breakouts but is not a permanent side effect. I will probably try this product again because Retinol is suppose to help speed up skin cell turnover and is used to help reduce wrinkles, improves acne scars, hyperpigmentation, and skin tone. It pushes trapped oil and existing clogged pore debris to the surface, which is what causes the breakouts. I’m hoping that since I’ve been on this Cerave journey for over a year that I won’t breakout won’t be as bad this time around. I will update my review after I get through the breakout stage of use."
P3,I use this product morning and evening and whenever I like to freshen up. Goodbye to using ivory soap bar that after a while dries your face out. I use other products of CeraVe the p.m. and hand moisturizer the facial cleanser works well with a little scrubber that you can purchase separately that really removes all dead cells on face or anywhere else you want to use it. I would give it a five-star if they made a pump that when you get near the bottom you don't have to take the pump out to get the rest of it out for the next couple of days. Also it would be good if you had a clear side window to see how low you were getting. Otherwise this product I've used for about 3 years and works well for me. Price could be a little cheaper but you have to pay a little more for good stuff. I would recommend.
P3,"I gave this CeraVe hydrating facial cleanser 5 stars because it doesn't dry my skin out and it's doing what a good facial cleanser should do, gently clean your face. I recommend this face wash. There are better face washes if you want to spend the money, and you look out and get a product that actually does what it says it does but you'll spend a pretty penny on it. I would do that, because I'm 51 years old and I'd like to continue to take very good care of my skin while aging as gracefully as possible, so this is always my go-to-face wash if I've purchased one or two expensive face washes that misrepresents itself and is harsh on my skin. The face wash I used to use for $65 was wonderful and made skin feel soft and clean without any silicones masking that effect but they discontinued it or change the formulation. So back to good old CeraVe."
P3,"Normally I am a fan of cerave products, but not this one. I accidentally bought it when trying to purchase the cream to foam version. This is actually the second time I've done that, as the products look almost identical but they are not. My husband and I both use and love the cream to foam version, but this one not so much.

Both my husband and I tried to use this, but ended up getting rid of it for different reasons. For my husband, he felt like he had to use a lot of product and it didn't give him that ""clean"" feeling that the cream to foam version does. For me, it actually caused a pretty intense burning sensation on my face that other cerave products do not. The cream to foam version of this is great for me and does not cause the burning sensation.

Wish they would make the marketing of this product different from the cream to foam one, they are really two completely different products."
P3,"This is just me writing of my personal experience with the product.

First off, I will say that I am not a female, but a thirty-something y.o. male with sensitive skin who has been dealing with acne since my teen years. And I've recently been struggling with a pretty bad breakout which is why I decided to buy this product when it went on sale.

Now, that being said, I cannot understand how this is the bestselling facial cleanser on Amazon.

But anyway... I'll just list my problems with the product.

1. The product does not lather at all, it's more of a cream cleanser, so if you have acne-riddled skin like me, you probably do not want to be rubbing something all over your face; I lightly pat my face with lather when I wash, I do not rub, and this product makes it very difficult to do that.

* Maybe if you're a female it would be good to remove makeup, I don't know, I'm just guessing about that, the creamy consistency and ingredients lead me to think it would, but for me, it serves no purpose as I cannot actually use it to wash my face.

2. It IRRITATES my skin. I've used it three times, and each time it has burned, it's only a slight sting, but it's there.

3. Because of these issues and my desire to not have to return the product, I have tried mixing a small amount of this CeraVe cleanser with a bit of another soap/body wash, I use Olay and/or Dial, hoping it would add the beneficial properties while the soap would ameliorate the negatives, namely, not lathering and being slightly irritating, but unfortunately, the CeraVe seems to basically dissolve the soap and makes the entire mixture extremely thin, with a consistency barely greater than water, so I cannot really use it for anything.

All I can say is, I really wanted to like this product, thought I would based on all the positive reviews and the reputation of the company along with their product pricing, but unfortunately, it doesn't work for me and I'll have to send it back.

Oh, and I give one star for scent because there is no scent, and while some people may think that's a good thing, I like my bath products to have a light/moderate scent."
P3,"I’ve been using this product for months now. I haven’t liked it from day one but the bottle is GIGANTIC and because it’s supposedly a great product, I didn’t want to waste it. What I dislike most is that it doesn’t seem to remove sweat/grease. I get that people don’t want their skin to dry out, but when I go to the gym or hiking, etc, I need to feel like my face is clean afterwards. With this I feel like I am just spreading my own face oil around my face. I have combo skin, so mainly get oily on the forehead and nose. When I’m done washing my face, the forehead and nose still seem greasy, whereas the other areas don’t. I’ve tried using more and rubbing for a while (it doesn’t lather), but it just doesn’t seem like I’m washing my face with anything better than water. It also didn’t help with breakouts, in my opinion, because it doesn’t wash the skin very well. It most certainly doesn’t get make up off, but I don’t know if every face wash is meant to do that. With this, I definitely need to remove my make up first, but for all the people complaining about that, it’s probably because it just doesn’t wash skin, oils, anything else off very well. I still have a ton left. I might use it on days where my skin isn’t very dirty at all. Might throw it away. IDK. Every face wash I’ve tried was better than this."
P3,"I was not trilled with this. I was trying to save money, and when I ran out of my Philosophy Purity I thought I would try this due to review. I just do not like the feel, or the cleaning ability. It has no scent, size was economical, but the pump did not disperse more than a couple of teaspoons per pump. No not easy to use in the shower or tub. I can not state quality because it just did not leave my face feeling clean. This company has great reviews on all lotions creams and even this face cleanser, but it is not the quality I was used to."
P3,"It does not work well. It does not foam. Feels like lotion. My face still has residue after washing. Does not remove my lipstick Maybelline Super Stay. I have to use it twice in the shower just to remove the make up, mascara and eye shadow. The bottle is huge. Not sure why so many great reviews. "
P3,reviMy initial opinion is that it’s a good product. It’s only been in my shower for a week but seems to be cleansing well and not drying out my faceew9
P3,"For years, I associated that ""squeaky clean"" feeling with a good face wash, not realizing it was just a sign of my skin being stripped of its natural moisture. This CeraVe cleanser has completely changed my perspective. It has a creamy, lotion-like consistency that doesn't foam up, which took a little getting used to. However, it feels very gentle and soothing on my skin and cleanses thoroughly without leaving any tightness or dryness behind. My face just feels soft, calm, and comfortable after using it.

I find it's effective enough to remove daily sunscreen and light makeup on its own. For heavier makeup days, I use it as the second step in a double-cleanse routine and it works perfectly. I appreciate that it's formulated with ingredients like ceramides and hyaluronic acid to support the skin barrier, rather than work against it. It's also completely fragrance-free, which is a big plus for my sensitive skin.

A single bottle lasts for months, as you only need about one pump per wash. It's a simple, no-frills product that has become a reliable and essential part of my skincare routine. It consistently leaves my skin feeling balanced and hydrated."
